"Author Name","Auth-ID","Number of Documents","Subject Area","Orc_ID"

"Wijanarko, Bambang Dwi","57202048780","13","Computer Science
Engineering
Social Sciences
Decision Sciences
Business, Management and Accounting
Energy
Mathematics
Medicine
Physics and Astronomy
"
"Ramdhani, Rani","57211201775","1","Business, Management and Accounting
"
"Yohanes, Rita","57208327575","1","Arts and Humanities
Business, Management and Accounting
Economics, Econometrics and Finance
Social Sciences
"
"Ivandi, Julian","57192558882","1","Computer Science
"
"Utomo, Prio","57209050703","2","Business, Management and Accounting
Social Sciences
Arts and Humanities
Economics, Econometrics and Finance
Engineering
","0000-0001-8725-2275"
"Raharto Condrobimo, A.","57194542122","8","Computer Science
Social Sciences
Decision Sciences
Engineering
Business, Management and Accounting
Medicine
Physics and Astronomy
Mathematics
"
"Nanda, Kezia A.","57215590830","2","Arts and Humanities
Social Sciences
"
"Darmawan, Surachman","56820010100","1","Social Sciences
Energy
Environmental Science
Mathematics
Engineering
Computer Science
"
"Budiawan, Shiella","57200002008","1","Business, Management and Accounting
"
"Rita","57219985755","1","Energy
Earth and Planetary Sciences
Environmental Science
"
"Lenny","57197744718","1","Engineering
Psychology
Computer Science
"
"Himmayani, Vivien","57201431364","1","Health Professions
Social Sciences
"
"Halim, Joshua Jonathan","57205029989","1","Computer Science
Engineering
Business, Management and Accounting
Decision Sciences
"
"Fadillah, Andre Mohammad","57211244021","1","Computer Science
"
"Stephanie, Stephanie","57220076036","1","Engineering
Physics and Astronomy
Business, Management and Accounting
"
"Smith, Ariesta Dahlia","56819506700","1","Social Sciences
Energy
Environmental Science
Mathematics
Engineering
Computer Science
"
"Rahmansyah, Tomi","57220036803","1","Engineering
Social Sciences
Computer Science
"
"Sabrina, Sasya","52364836400","7","Computer Science
Business, Management and Accounting
Social Sciences
Decision Sciences
Arts and Humanities
Medicine
Economics, Econometrics and Finance
Engineering
"
"Satyadhana, Alexander Khrisna","57219568279","1","Decision Sciences
Computer Science
Business, Management and Accounting
"
